threshold,tp,fp,tn,fn,cost
0.0,65,1543,0,0,462900
5.228556752707144e-57,65,1542,1,0,462600
1.8430086478646393e-41,65,1541,2,0,462300
5.165141717208005e-32,65,1540,3,0,462000
1.0107552862500632e-23,65,1539,4,0,461700
1.604583631208869e-21,65,1538,5,0,461400
5.907682989868089e-17,65,1537,6,0,461100
8.042486252019435e-17,65,1536,7,0,460800
8.738999823740944e-14,65,1535,8,0,460500
5.710656354905462e-13,65,1534,9,0,460200
1.4022025287158727e-12,65,1533,10,0,459900
2.6456637513963564e-11,65,1532,11,0,459600
1.8914129747061115e-10,65,1531,12,0,459300
1.4423983001566552e-09,65,1530,13,0,459000
1.986191134523712e-08,65,1529,14,0,458700
2.273187949329891e-08,65,1528,15,0,458400
2.8210635317594067e-08,65,1527,16,0,458100
6.352453698341941e-07,65,1526,17,0,457800
7.368201159283324e-07,65,1525,18,0,457500
1.764702910191484e-06,65,1524,19,0,457200
1.8498326109368853e-05,65,1523,20,0,456900
2.008542515537256e-05,65,1522,21,0,456600
2.205620964210355e-05,65,1521,22,0,456300
3.269378273081765e-05,65,1520,23,0,456000
6.0584187367616974e-05,65,1519,24,0,455700
8.085986435436728e-05,65,1518,25,0,455400
0.00013706800183589462,65,1517,26,0,455100
0.00015613621099019496,65,1516,27,0,454800
0.00018345254845097075,65,1515,28,0,454500
0.0004195773472990788,65,1514,29,0,454200
0.0005544702978663616,65,1513,30,0,453900
0.0005713289121038614,65,1512,31,0,453600
0.000869234279063629,65,1511,32,0,453300
0.0008873294056011166,65,1510,33,0,453000
0.0009539314906715311,65,1509,34,0,452700
0.001192409848319183,65,1508,35,0,452400
0.0014002734150002569,65,1507,36,0,452100
0.0014917025322159002,65,1506,37,0,451800
0.0015146551395712137,65,1505,38,0,451500
0.0015876352136833958,65,1504,39,0,451200
0.0017544596645655778,65,1503,40,0,450900
0.0019581299301477005,65,1502,41,0,450600
0.002210058374174271,65,1501,42,0,450300
0.0023781996547244536,65,1500,43,0,450000
0.0029391271987320748,65,1499,44,0,449700
0.0030305249347047833,65,1498,45,0,449400
0.0030663251405180117,65,1497,46,0,449100
0.0033755198327650986,65,1496,47,0,448800
0.0034006640438833937,65,1495,48,0,448500
0.0034529844356783698,65,1494,49,0,448200
0.0038100864425115286,65,1493,50,0,447900
0.0038553567122300825,65,1492,51,0,447600
0.004038038154081208,65,1491,52,0,447300
0.004606651739392984,65,1490,53,0,447000
0.004607011916774786,65,1489,54,0,446700
0.0047713787155653125,65,1488,55,0,446400
0.004971960301544683,65,1487,56,0,446100
0.005084090501990038,65,1486,57,0,445800
0.005147593200870447,65,1485,58,0,445500
0.005150047156187104,65,1484,59,0,445200
0.005925851635195531,65,1483,60,0,444900
0.006573512133782701,65,1482,61,0,444600
0.006805246990784292,65,1481,62,0,444300
0.007423240324710054,65,1480,63,0,444000
0.007513930221841161,65,1479,64,0,443700
0.009019069361260078,65,1478,65,0,443400
0.009516912318536283,65,1477,66,0,443100
0.00994452610663445,65,1476,67,0,442800
0.010056785510257658,65,1475,68,0,442500
0.011093346112193094,65,1474,69,0,442200
0.011131772491580039,65,1473,70,0,441900
0.01155459190545195,65,1472,71,0,441600
0.011871979621135955,65,1471,72,0,441300
0.01294259187183338,65,1470,73,0,441000
0.013153009664256074,65,1469,74,0,440700
0.01335837463843972,65,1468,75,0,440400
0.013612481685220728,65,1467,76,0,440100
0.013832320132852804,65,1466,77,0,439800
0.013909460442168264,65,1465,78,0,439500
0.01446104957510462,65,1464,79,0,439200
0.014661477932789742,65,1463,80,0,438900
0.01515472028317342,65,1462,81,0,438600
0.016418594686159756,65,1461,82,0,438300
0.0166400310017948,65,1460,83,0,438000
0.016774360255365744,65,1459,84,0,437700
0.01726510861609488,65,1458,85,0,437400
0.01786238125616318,65,1457,86,0,437100
0.018136978933472356,65,1456,87,0,436800
0.018549631173706362,65,1455,88,0,436500
0.019371600369925936,65,1454,89,0,436200
0.020053208671367808,65,1453,90,0,435900
0.020243105280929315,65,1452,91,0,435600
0.020276092073171766,65,1451,92,0,435300
0.020467594276731352,65,1450,93,0,435000
0.021207556233566627,65,1449,94,0,434700
0.02128106389751565,65,1448,95,0,434400
0.021851907079654335,65,1447,96,0,434100
0.021915567219424684,65,1446,97,0,433800
0.022685998951707777,65,1445,98,0,433500
0.02291922495338376,65,1444,99,0,433200
0.024000420975118338,65,1443,100,0,432900
0.02402245620244637,65,1442,101,0,432600
0.025089322696528034,65,1441,102,0,432300
0.025849589783496944,65,1440,103,0,432000
0.025911672583662188,65,1439,104,0,431700
0.026847048292126707,65,1438,105,0,431400
0.02714944447574076,65,1437,106,0,431100
0.02882402285999537,65,1436,107,0,430800
0.028970602328803323,65,1435,108,0,430500
0.029212247073234852,65,1434,109,0,430200
0.029437575138355345,65,1433,110,0,429900
0.029674923393117482,65,1432,111,0,429600
0.029892860566979543,65,1431,112,0,429300
0.030267759414810393,65,1430,113,0,429000
0.03075352849262234,65,1429,114,0,428700
0.031203824919924093,65,1428,115,0,428400
0.031357646212644814,65,1427,116,0,428100
0.031523785716775374,65,1426,117,0,427800
0.031795455926376434,65,1425,118,0,427500
0.03389661252813447,65,1424,119,0,427200
0.03513749020643833,65,1423,120,0,426900
0.035629702947381534,65,1422,121,0,426600
0.03661511496326864,65,1421,122,0,426300
0.03794447820445573,65,1420,123,0,426000
0.03873834730553744,65,1419,124,0,425700
0.04016469870056965,65,1418,125,0,425400
0.04043940825419809,65,1417,126,0,425100
0.04072704345945464,65,1416,127,0,424800
0.042201367004190346,65,1415,128,0,424500
0.043083934987704825,65,1414,129,0,424200
0.04453252216822703,65,1413,130,0,423900
0.046242754143857416,65,1412,131,0,423600
0.04778194038630157,65,1411,132,0,423300
0.04807376339325072,65,1410,133,0,423000
0.04914394491504495,65,1409,134,0,422700
0.0495919006798419,65,1408,135,0,422400
0.049732798282573244,65,1407,136,0,422100
0.050561646582586266,65,1406,137,0,421800
0.05164606891456864,65,1405,138,0,421500
0.052409021807989425,65,1404,139,0,421200
0.053147608380120295,65,1403,140,0,420900
0.05317977414887351,65,1402,141,0,420600
0.05447229356628733,65,1401,142,0,420300
0.054649391907110906,65,1400,143,0,420000
0.05529622868457556,65,1399,144,0,419700
0.05603479896522101,65,1398,145,0,419400
0.05609102532482222,65,1397,146,0,419100
0.057340065695509514,65,1396,147,0,418800
0.057498075800922,65,1395,148,0,418500
0.058353959225368124,65,1394,149,0,418200
0.05901162592606048,65,1393,150,0,417900
0.059055916331556,65,1392,151,0,417600
0.05906419925830421,65,1391,152,0,417300
0.06025648657535425,65,1390,153,0,417000
0.06182129180393809,65,1389,154,0,416700
0.06208732473160593,65,1388,155,0,416400
0.062201902123543144,65,1387,156,0,416100
0.06274053968584212,65,1386,157,0,415800
0.06278980670115095,65,1385,158,0,415500
0.06364159855526033,65,1384,159,0,415200
0.06402718676158183,65,1383,160,0,414900
0.06424527634630166,65,1382,161,0,414600
0.06518618441749707,65,1381,162,0,414300
0.06561446085555252,65,1380,163,0,414000
0.06652737357935012,65,1379,164,0,413700
0.0666452617670656,65,1378,165,0,413400
0.06702336513868246,65,1377,166,0,413100
0.06739328588922726,65,1376,167,0,412800
0.06874065226158028,65,1375,168,0,412500
0.06890403918069696,65,1374,169,0,412200
0.06913972270397627,65,1373,170,0,411900
0.07049579079556692,65,1372,171,0,411600
0.07091829306752044,65,1371,172,0,411300
0.07125769183127527,65,1370,173,0,411000
0.071446312796007,65,1369,174,0,410700
0.0722255087454372,65,1368,175,0,410400
0.07256217380727024,65,1367,176,0,410100
0.07309166754265778,65,1366,177,0,409800
0.07351230721123803,65,1365,178,0,409500
0.07352791075026513,65,1364,179,0,409200
0.07423980834891036,65,1363,180,0,408900
0.07438814389303174,65,1362,181,0,408600
0.07476451506242457,65,1361,182,0,408300
0.07550786178063178,65,1360,183,0,408000
0.07578657699505585,65,1359,184,0,407700
0.07644091102211968,65,1358,185,0,407400
0.07715937119218992,65,1357,186,0,407100
0.0774974713777762,65,1356,187,0,406800
0.0776171957367384,65,1355,188,0,406500
0.0778134534940717,65,1354,189,0,406200
0.07892307629870643,65,1353,190,0,405900
0.0806086000948378,65,1352,191,0,405600
0.08103623351075821,65,1351,192,0,405300
0.08177218950203484,65,1350,193,0,405000
0.0820872678283248,65,1349,194,0,404700
0.08212363835470278,65,1348,195,0,404400
0.08217107967900958,65,1347,196,0,404100
0.08266644635631054,65,1346,197,0,403800
0.08314955092107736,65,1345,198,0,403500
0.08354323331299524,65,1344,199,0,403200
0.08449622369244937,65,1343,200,0,402900
0.08502046398923856,65,1342,201,0,402600
0.08603800777732956,65,1341,202,0,402300
0.08609768872476013,65,1340,203,0,402000
0.08632113879278652,65,1339,204,0,401700
0.08652619547009725,65,1338,205,0,401400
0.08703594166309245,65,1337,206,0,401100
0.08740625799926308,65,1336,207,0,400800
0.08763172012752218,65,1335,208,0,400500
0.08788861759980776,65,1334,209,0,400200
0.08816583155483343,65,1333,210,0,399900
0.08903107967922409,65,1332,211,0,399600
0.08905073054370781,65,1331,212,0,399300
0.08938764960513643,65,1330,213,0,399000
0.08951377464085594,65,1329,214,0,398700
0.09051611627290378,65,1328,215,0,398400
0.09153889629752075,65,1327,216,0,398100
0.09221153558933283,65,1326,217,0,397800
0.0922221447215791,65,1325,218,0,397500
0.09229844829878543,65,1324,219,0,397200
0.09279887113636305,65,1323,220,0,396900
0.093436301041069,65,1322,221,0,396600
0.09347124116126448,65,1321,222,0,396300
0.09407538954402155,65,1320,223,0,396000
0.09422417380459724,65,1319,224,0,395700
0.09514889867478227,65,1318,225,0,395400
0.09526403541532834,65,1317,226,0,395100
0.09605326689758535,65,1316,227,0,394800
0.09654691920968875,65,1315,228,0,394500
0.0965811763177838,65,1314,229,0,394200
0.09668063390720225,65,1313,230,0,393900
0.09687265543413577,65,1312,231,0,393600
0.09764641188148526,65,1311,232,0,393300
0.09770163759887118,65,1310,233,0,393000
0.09883519158483713,65,1309,234,0,392700
0.09936402735853832,65,1308,235,0,392400
0.10052878574086559,65,1307,236,0,392100
0.10074368957701219,65,1306,237,0,391800
0.10120012831993552,65,1305,238,0,391500
0.10132397702587373,65,1304,239,0,391200
0.10141112069063647,65,1303,240,0,390900
0.10177241264171699,65,1302,241,0,390600
0.10185873269089481,65,1301,242,0,390300
0.10272996225019669,65,1300,243,0,390000
0.10406783863644771,65,1299,244,0,389700
0.10538346871798153,65,1298,245,0,389400
0.10546402489904723,65,1297,246,0,389100
0.10560644033747991,65,1296,247,0,388800
0.10612605060317308,65,1295,248,0,388500
0.10646468807909128,65,1294,249,0,388200
0.10673926066521507,65,1293,250,0,387900
0.10852114867227394,65,1292,251,0,387600
0.10857528275767434,65,1291,252,0,387300
0.10859672224488849,65,1290,253,0,387000
0.10895260681181902,65,1289,254,0,386700
0.10956151166882315,65,1288,255,0,386400
0.10958979377096655,65,1287,256,0,386100
0.1097428641644627,65,1286,257,0,385800
0.11030844088626221,65,1285,258,0,385500
0.11049108895666207,65,1284,259,0,385200
0.11059979664413935,65,1283,260,0,384900
0.11061676297096325,65,1282,261,0,384600
0.11102031030094547,65,1281,262,0,384300
0.11121711678931077,65,1280,263,0,384000
0.11132918374385822,65,1279,264,0,383700
0.11179396229879536,65,1278,265,0,383400
0.11199907583531447,65,1277,266,0,383100
0.11241181793238736,65,1276,267,0,382800
0.11287497398490302,65,1275,268,0,382500
0.1132871860667125,65,1274,269,0,382200
0.11329574884431881,65,1273,270,0,381900
0.11331105367917531,65,1272,271,0,381600
0.11370533946348245,65,1271,272,0,381300
0.11382177887296856,65,1270,273,0,381000
0.11456793027403854,65,1269,274,0,380700
0.1145819766490178,65,1268,275,0,380400
0.1148117423397852,65,1267,276,0,380100
0.11537411865450856,65,1266,277,0,379800
0.11570354363934206,65,1265,278,0,379500
0.11612105063363123,65,1264,279,0,379200
0.11622475260746938,65,1263,280,0,378900
0.116399429793868,65,1262,281,0,378600
0.11670955239782012,65,1261,282,0,378300
0.11759100217033036,65,1260,283,0,378000
0.11774121846627522,65,1259,284,0,377700
0.11834940412604511,65,1258,285,0,377400
0.11861814003405452,65,1257,286,0,377100
0.11863940815405682,65,1256,287,0,376800
0.11918283190713888,65,1255,288,0,376500
0.11920930533303613,65,1254,289,0,376200
0.11931100523417419,65,1253,290,0,375900
0.11937734510380557,65,1252,291,0,375600
0.11949502242584771,65,1251,292,0,375300
0.12043844351155052,65,1250,293,0,375000
0.1204513540484348,65,1249,294,0,374700
0.12081612265992696,65,1248,295,0,374400
0.12088660231689327,65,1247,296,0,374100
0.12141472873756025,65,1246,297,0,373800
0.12148021600039163,65,1245,298,0,373500
0.12155075942550747,65,1244,299,0,373200
0.12172737966532325,65,1243,300,0,372900
0.12204511429039724,65,1242,301,0,372600
0.1230480702197924,65,1241,302,0,372300
0.12337892387935541,65,1240,303,0,372000
0.12462002167804428,65,1239,304,0,371700
0.12463760576196048,65,1238,305,0,371400
0.12484346866886481,65,1237,306,0,371100
0.12498905701384709,65,1236,307,0,370800
0.12518503324417235,65,1235,308,0,370500
0.12583194074161044,65,1234,309,0,370200
0.12585765996797418,65,1233,310,0,369900
0.12647610235468446,65,1232,311,0,369600
0.12649140209548584,65,1231,312,0,369300
0.12659180676520604,65,1230,313,0,369000
0.12662787409303372,65,1229,314,0,368700
0.12678151279564925,65,1228,315,0,368400
0.1268393593900149,65,1227,316,0,368100
0.12711769508649712,65,1226,317,0,367800
0.12729917970257482,65,1225,318,0,367500
0.1273523592063723,65,1224,319,0,367200
0.12739653138285995,64,1224,319,1,372700
0.12741112118149867,64,1223,320,1,372400
0.12747310014775293,64,1222,321,1,372100
0.12773752611384315,64,1221,322,1,371800
0.1277893254204718,64,1220,323,1,371500
0.12786278682113716,64,1219,324,1,371200
0.1281662258725616,64,1218,325,1,370900
0.12828825071954905,64,1217,326,1,370600
0.12836706841340892,64,1216,327,1,370300
0.12849487825325503,64,1215,328,1,370000
0.12856169704933373,64,1214,329,1,369700
0.12871610386645763,64,1213,330,1,369400
0.12902410370443446,64,1212,331,1,369100
0.12908328809944009,64,1211,332,1,368800
0.1292034694657322,64,1210,333,1,368500
0.1296506396545807,64,1209,334,1,368200
0.12981718661574063,64,1208,335,1,367900
0.12990345610286577,64,1207,336,1,367600
0.129916062193726,64,1206,337,1,367300
0.13023004568537908,64,1205,338,1,367000
0.13047859107971135,64,1204,339,1,366700
0.130634395827339,64,1203,340,1,366400
0.130636088748029,64,1202,341,1,366100
0.1308830778398754,64,1201,342,1,365800
0.13189251184570894,64,1200,343,1,365500
0.13240201565657533,64,1199,344,1,365200
0.13280753296540282,64,1198,345,1,364900
0.13415397446748076,64,1197,346,1,364600
0.13424225433816658,64,1196,347,1,364300
0.13424564757938573,64,1195,348,1,364000
0.13493244657526116,64,1194,349,1,363700
0.13512789470261402,64,1193,350,1,363400
0.1353658967915046,64,1192,351,1,363100
0.13606572217687696,64,1191,352,1,362800
0.1361816937086465,64,1190,353,1,362500
0.13647704017373816,64,1189,354,1,362200
0.1367367637742022,64,1188,355,1,361900
0.1368347937691177,64,1187,356,1,361600
0.13701318285652114,64,1186,357,1,361300
0.13708949220737918,64,1185,358,1,361000
0.1371077934604425,64,1184,359,1,360700
0.13737772898805006,64,1183,360,1,360400
0.13746470110554485,64,1182,361,1,360100
0.13792782825206035,64,1181,362,1,359800
0.13803422902781456,64,1180,363,1,359500
0.13815430049577135,64,1179,364,1,359200
0.1383597582001499,64,1178,365,1,358900
0.1383642797839872,64,1177,366,1,358600
0.1384167791538913,64,1176,367,1,358300
0.13844700321186407,64,1175,368,1,358000
0.1386560112193927,64,1174,369,1,357700
0.13875788027586852,64,1173,370,1,357400
0.138872461614274,64,1172,371,1,357100
0.13893090191030522,64,1171,372,1,356800
0.1389624026463581,64,1170,373,1,356500
0.13908606990619193,64,1169,374,1,356200
0.13944458840395857,64,1168,375,1,355900
0.1396133806643196,64,1167,376,1,355600
0.13974066178666725,64,1166,377,1,355300
0.14080949062987136,64,1165,378,1,355000
0.14087637500593525,64,1164,379,1,354700
0.14089576784586388,64,1163,380,1,354400
0.14095992956011805,64,1162,381,1,354100
0.1410389481291863,64,1161,382,1,353800
0.14112613021648135,64,1160,383,1,353500
0.14128648234363478,64,1159,384,1,353200
0.14159824719215952,64,1158,385,1,352900
0.14164455155185832,64,1157,386,1,352600
0.14166011898627992,64,1156,387,1,352300
0.14172661688613852,64,1155,388,1,352000
0.14176434015580755,64,1154,389,1,351700
0.1418533868299898,64,1153,390,1,351400
0.1420532322088098,64,1152,391,1,351100
0.142291123262398,64,1151,392,1,350800
0.14233621927815832,64,1150,393,1,350500
0.14252379378182006,64,1149,394,1,350200
0.14314654860078796,64,1148,395,1,349900
0.14324834138717063,64,1147,396,1,349600
0.1438304400797496,64,1146,397,1,349300
0.1440243204126299,64,1145,398,1,349000
0.1440796184737371,64,1144,399,1,348700
0.14407983628617613,64,1143,400,1,348400
0.14424624904003736,64,1142,401,1,348100
0.14439792234805407,64,1141,402,1,347800
0.144399481844979,64,1140,403,1,347500
0.14478746388738756,64,1139,404,1,347200
0.14483441294706,64,1138,405,1,346900
0.14491688678974918,64,1137,406,1,346600
0.14520902780623374,64,1136,407,1,346300
0.1453417712786355,64,1135,408,1,346000
0.14557330050649347,64,1134,409,1,345700
0.14576420260573061,64,1133,410,1,345400
0.1459621139357924,64,1132,411,1,345100
0.14642768192812577,64,1131,412,1,344800
0.14656792591865025,64,1130,413,1,344500
0.1466859380881453,64,1129,414,1,344200
0.14685224941495165,64,1128,415,1,343900
0.14710992504597498,64,1127,416,1,343600
0.14722318059644393,64,1126,417,1,343300
0.14752952363562935,63,1126,417,2,348800
0.14755098100681732,63,1125,418,2,348500
0.14772978453237792,63,1124,419,2,348200
0.14778190832223256,63,1123,420,2,347900
0.14812895799075407,63,1122,421,2,347600
0.14842752401933174,63,1121,422,2,347300
0.14845176809474803,63,1120,423,2,347000
0.1485808649029044,63,1119,424,2,346700
0.14872345733036496,63,1118,425,2,346400
0.14876464251646018,63,1117,426,2,346100
0.14878624774047908,63,1116,427,2,345800
0.14914934954165743,63,1115,428,2,345500
0.14953053963872914,63,1114,429,2,345200
0.1497490083484179,63,1113,430,2,344900
0.1498845679081134,63,1112,431,2,344600
0.14990083179907518,63,1111,432,2,344300
0.1501008913049922,63,1110,433,2,344000
0.15019692635880585,63,1109,434,2,343700
0.1503806171798833,63,1108,435,2,343400
0.15053180440646396,63,1107,436,2,343100
0.1508967031390567,63,1106,437,2,342800
0.1517812650231816,63,1105,438,2,342500
0.15186919433352944,63,1104,439,2,342200
0.1521790371614911,63,1103,440,2,341900
0.15235529627264657,63,1102,441,2,341600
0.15258979183304522,63,1101,442,2,341300
0.1529453514830012,63,1100,443,2,341000
0.1529857077670369,63,1099,444,2,340700
0.15312446956935416,63,1098,445,2,340400
0.15334359365592942,63,1097,446,2,340100
0.15388347804518046,63,1096,447,2,339800
0.1538986458687221,63,1095,448,2,339500
0.15391251640372997,63,1094,449,2,339200
0.15402872576588572,63,1093,450,2,338900
0.15405407287735437,63,1092,451,2,338600
0.1542409614804112,63,1091,452,2,338300
